IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG01195	1730266	1730266	0.0585961	-0.0762415	-0.0460468	0.00844255	0.000722638	-0.013837	-0.0145616	-0.0261074	-0.00355834	-0.0155489	AMR
HG01197	1723752	1723752	0.0673106	-0.0948576	-0.0444837	-3.48342e-05	-0.00344081	-0.0127556	-0.0137826	-0.0235079	0.00292241	-0.00666363	AMR
HG01248	1731170	1731170	0.0512175	-0.0892313	-0.0326718	-0.00457859	0.00197514	-0.0134185	-0.0145222	-0.024808	-0.00222543	-0.00724373	AMR
HG01254	1735090	1735090	0.0347587	-0.0443227	-0.0543135	0.0391551	-0.000822035	-0.0088537	-0.0118244	-0.0146844	0.00386966	-0.00463901	AMR
HG01257	1729736	1729736	0.0926456	-0.0692615	-0.05608	0.0371125	-0.000838625	-0.0056564	-0.00770515	-0.0120376	-0.000714285	-0.00840813	AMR
HG01269	1728688	1728688	0.0722489	-0.0656769	-0.0557545	0.0301164	0.00129255	-0.0146996	-0.0135765	-0.0172544	-0.0040217	-0.00966585	AMR
HG01271	1735274	1735274	0.0688664	-0.0680214	-0.0540664	0.0285915	-0.00238443	-0.0105239	-0.0121965	-0.0155818	-0.00122384	-0.00274321	AMR
HG01325	1734366	1734366	0.0405097	-0.0918093	-0.0330209	-0.0126521	-0.000950038	-0.00790097	-0.0125018	-0.0226706	-0.00618041	-0.00462418	AMR
HG01345	1734160	1734160	0.0756463	-0.0760261	-0.047165	0.0166343	0.00112708	-0.00723903	-0.0112541	-0.0138611	-0.00314478	-0.00303614	AMR
HG01348	1734608	1734608	0.0847998	-0.0429474	-0.0667275	0.0611032	0.00101694	-0.00738752	-0.00695758	-0.0147895	0.00171667	-0.00676128	AMR
