IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG03022	1734040	1734040	0.0870865	-0.0361505	0.0891091	0.0343409	0.000544286	-0.000638517	0.000433254	0.00894473	-3.9882e-05	-0.0354564	SAS
HG03084	1733344	1733344	-0.284455	0.0186241	0.00183718	4.63945e-05	-0.0392116	-0.00223713	-0.0239428	0.01497	0.0632865	-0.00300948	AFR
HG03099	1734276	1734276	-0.291654	0.0197208	-0.00166125	0.000159074	0.00476107	0.00275285	0.0508087	-0.0236998	-0.00727744	-0.00237405	AFR
HG03157	1733390	1733390	-0.291912	0.0178245	0.000271385	-0.000357124	-0.0017194	0.00598997	0.0414374	-0.0244712	-0.0141104	-0.0176166	AFR
HG03228	1734256	1734256	0.0868711	-0.0263482	0.0880248	0.0292906	-0.00111001	-0.00303572	-0.00115372	7.07515e-05	0.00187824	-0.00151193	SAS
HG03229	1713068	1713068	0.083205	-0.0318935	0.087886	0.029304	-0.000762544	0.00164533	0.00213238	0.00257689	-0.00173789	-0.0149422	SAS
HG03238	1733278	1733278	0.084661	-0.0686293	0.0603703	0.0142859	-0.00156748	-0.000469514	0.000728752	-0.0015823	-0.00292334	0.00579244	SAS
HG03301	1732754	1732754	-0.290727	0.0201874	0.00101941	-0.00178241	0.00167378	0.00869589	0.0501488	-0.0287716	-0.0331399	-0.03287	AFR
HG03488	1729880	1729880	0.0857712	-0.0465197	0.07474	0.0240497	-0.00106985	0.00340159	0.00348624	0.00639936	0.00187328	0.000605279	SAS
HG03589	1733064	1733064	0.088546	-0.00439374	0.0929479	0.0305216	-0.000603875	-0.000183257	0.00154958	0.00399698	0.000495984	-0.0061658	SAS
HG03594	1733010	1733010	0.0912106	-0.00217426	0.0857444	0.0283364	-0.00101796	-0.00268621	0.00124414	-0.00136433	0.000310575	-0.00250765	SAS
HG03598	1731030	1731030	0.0909047	-0.00442201	0.0815814	0.0245136	0.0023916	-0.00141518	0.00079475	0.00434602	-0.00148966	-0.0136991	SAS
HG03603	1724000	1724000	0.0910552	-0.00285694	0.0895002	0.0317932	0.000451975	-0.00164004	-9.00827e-05	0.00279731	0.00150018	-0.0163468	SAS
HG03604	1735550	1735550	0.0904618	-0.00657122	0.0888512	0.0286741	-0.0012693	-0.000481591	0.00153677	0.00461145	-0.00111395	-0.00822426	SAS
HG03607	1728068	1728068	0.0911903	-0.00301659	0.0820663	0.0266538	0.000201269	-0.000953212	0.0016956	0.00110605	0.000138203	-0.00310037	SAS
HG03619	1734274	1734274	0.0867251	-0.0638863	0.0581475	0.0184748	0.000248584	0.00704165	-0.000216477	0.00297853	-0.00117787	0.00745597	SAS
HG03621	1735522	1735522	0.0864126	-0.0246695	0.0942356	0.0354879	0.00130516	0.00377674	-0.000311259	-0.000841739	0.00208436	-0.0424929	SAS
HG03624	1730672	1730672	0.0876435	-0.0623001	0.0644777	0.0197535	-0.00147029	0.0017251	0.000333093	-0.00150943	-0.0002248	0.00998463	SAS
HG03625	1723382	1723382	0.0865596	-0.0639194	0.0601738	0.0175498	-0.000282972	0.000522897	-0.000552543	-0.00387306	0.000370372	-0.0052165	SAS
HG03634	1732326	1732326	0.0861456	-0.0566256	0.0663548	0.0155646	-0.001339	0.00229746	0.0045284	0.00105192	-0.000696425	0.00355863	SAS
HG03639	1733640	1733640	0.0891788	-0.0248968	0.0961757	0.037753	-0.0003254	0.00117359	-0.000185969	-0.00365295	0.00222171	-0.0406298	SAS
HG03642	1735542	1735542	0.0840138	-0.0126854	0.105626	0.0357743	-0.00131005	-0.00233273	0.00314948	0.00202504	0.00238694	-0.0185974	SAS
HG03643	1735370	1735370	0.0861857	-0.0196757	0.102094	0.0372939	0.0022562	0.000601489	0.00107565	0.000636105	0.00224145	-0.0140447	SAS
HG03644	1732708	1732708	0.0846104	-0.0185677	0.0996565	0.036285	-0.000350834	-0.00153776	-0.00201531	-0.000275615	-0.00151201	-0.0154444	SAS
HG03649	1725002	1725002	0.0857174	-0.0398985	0.0768033	0.025727	-0.00151365	0.00136225	-0.00186823	0.0013535	-0.00397366	-0.00134108	SAS
HG03650	1734230	1734230	0.0883572	-0.0387154	0.07743	0.0296921	-0.000263008	-0.00108536	-0.00032231	0.00122058	-0.00207276	-0.0053718	SAS
HG03653	1733118	1733118	0.0859311	-0.0367998	0.0864421	0.0320697	-0.00223039	-0.00160147	0.00256439	0.00030658	-0.000465348	-0.00734009	SAS
HG03656	1730160	1730160	0.0881184	-0.0456894	0.0653866	0.0222847	-0.00177238	0.000125281	-0.000443821	-0.00245217	0.00109611	-0.00548742	SAS
HG03660	1732382	1732382	0.0906846	-0.0265446	0.0919705	0.0322127	0.000482541	-0.00450228	0.00201625	0.0043274	-0.00285194	-0.0350244	SAS
HG03663	1731938	1731938	0.0899136	-0.019407	0.098981	0.0366143	-0.00244704	0.000772959	0.00190831	0.00710234	0.000386935	-0.0425749	SAS
HG03668	1732516	1732516	0.0862433	-0.0363338	0.0822494	0.0315292	-0.000812166	0.00216203	-0.00178249	0.00209456	0.00257289	-0.0068021	SAS
HG03681	1728400	1728400	0.0858485	-0.0228235	0.0993471	0.0341051	-0.00268168	0.000974518	-0.00355799	-0.00659325	-0.00185074	-0.01145	SAS
HG03682	1735636	1735636	0.0842524	-0.0135923	0.0992249	0.0389154	0.000299467	-0.00181263	-0.00135761	-6.65495e-06	-0.00211714	-0.0280749	SAS
HG03686	1731518	1731518	0.0864159	-0.0123436	0.105858	0.0398029	-0.00160847	0.000879981	-0.00406635	-0.000849592	-0.00591817	-0.0172683	SAS
HG03687	1734906	1734906	0.0855917	-0.0212558	0.101003	0.0364775	-0.0011066	-0.00475215	-0.0011886	0.00124642	0.00281938	-0.0180321	SAS
HG03690	1732436	1732436	0.0850169	-0.021476	0.104045	0.0370489	0.00200097	0.000459338	-0.00153708	-0.00294098	-0.00131119	-0.0244383	SAS
HG03691	1730610	1730610	0.0844933	-0.0138219	0.102451	0.0349128	-0.00128268	0.00211618	-0.000496927	-0.00708414	0.000677204	-0.0148244	SAS
HG03692	1734614	1734614	0.0865734	-0.0169521	0.104278	0.0393516	-0.000758036	7.51472e-05	0.000969463	-0.0032884	-0.00189491	-0.018017	SAS
HG03693	1735330	1735330	0.0869882	-0.0126331	0.100388	0.0372902	-0.00151232	0.00369816	0.000320957	0.00147953	-0.00222402	-0.0260097	SAS
HG03694	1734574	1734574	0.0869935	-0.0266422	0.0755006	0.0194601	0.000642472	-0.00576397	-0.00177709	-0.00365346	0.000375653	-0.0102194	SAS
HG03695	1734610	1734610	0.0858045	-0.0182932	0.101262	0.038155	7.35412e-05	-0.000848783	-0.000757598	0.000255907	0.000365898	-0.0168783	SAS
HG03699	1732738	1732738	0.0862632	-0.0229548	0.0956309	0.0349417	-0.000297221	0.0034463	-0.00112559	0.0015019	-0.000946491	-0.0163764	SAS
HG03702	1734862	1734862	0.0889609	-0.0278968	0.092078	0.0329535	-0.0021958	0.00246299	0.000688448	0.00114867	-0.000912571	-0.0085191	SAS
HG03703	1733530	1733530	0.0893037	-0.0346297	0.0857357	0.0306321	-0.000990469	0.000672984	0.00211388	0.000835629	-0.0018125	-0.00625685	SAS
HG03705	1697854	1697854	0.0864934	-0.0224411	0.095673	0.0317711	-0.00300563	0.00166562	0.000115622	0.00200492	-0.00208036	-0.0511504	SAS
HG03708	1732986	1732986	0.0904728	-0.0385647	0.0785398	0.0279621	-0.00175768	-0.000384292	0.000773531	-0.00132159	-0.00328678	-0.00138408	SAS
HG03709	1732834	1732834	0.0894742	-0.0296341	0.0856122	0.0296892	-0.000992558	0.00411135	0.00274185	0.0041318	0.000419271	-0.00776328	SAS
HG03711	1732614	1732614	0.0846877	-0.0246699	0.0992961	0.0371811	0.000693089	0.00117462	0.000851198	0.00450739	-0.000540421	-0.0231914	SAS
HG03714	1729898	1729898	0.0863997	-0.0380319	0.0811426	0.0268497	0.000338229	-0.00312578	0.00042121	0.00232517	0.00113454	-0.0075509	SAS
HG03720	1735638	1735638	0.0886291	-0.0159203	0.0995743	0.039323	-0.00112242	0.000179622	0.000631966	-0.000514305	-0.000138532	-0.0210086	SAS
HG03725	1732768	1732768	0.0866296	-0.0190776	0.103139	0.036783	7.99179e-05	-0.00236617	-0.000851676	-0.00103128	-0.0012354	-0.0204482	SAS
HG03729	1733518	1733518	0.0868659	-0.0249592	0.103141	0.0384932	-0.00195583	0.00158173	-0.000962762	-0.000977779	-0.00130849	-0.0151383	SAS
HG03731	1734112	1734112	0.0864274	-0.0254986	0.100854	0.037047	-0.00171765	0.00083544	0.000833554	-0.0024503	0.00220136	-0.0134519	SAS
HG03733	1735110	1735110	0.0837847	-0.0230557	0.106863	0.0372779	-0.000623492	0.00387717	-0.000468743	-0.000123636	-0.00149647	-0.0270154	SAS
HG03740	1734642	1734642	0.0852433	-0.0200973	0.105732	0.0403951	0.000547496	0.00179588	0.00120872	0.00522659	-0.00182521	-0.0167738	SAS
HG03742	1733312	1733312	0.0873643	-0.0196229	0.104149	0.0376247	0.00178559	-0.00100288	0.000246813	-0.00383801	0.000368122	-0.0133807	SAS
HG03743	1728284	1728284	0.0855697	0.000433142	0.114348	0.0435168	-0.00186653	-0.00178723	-0.00171882	-0.00401	-0.00218708	-0.0268549	SAS
HG03744	1735274	1735274	0.0863709	-0.0172497	0.0997379	0.0370924	0.00113072	0.0051038	-0.00492423	-0.00861718	-0.000842801	-0.0180454	SAS
