IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG00358	1730780	1730780	0.0978047	-0.107863	-0.0356717	-0.0339095	-0.0079754	0.0367922	0.041157	0.0881907	-0.006351	-0.0106663	EUR
HG00359	1733260	1733260	0.0968836	-0.112054	-0.0303495	-0.0344236	-0.00470226	0.0265978	0.0278242	0.0557523	-0.00312432	-0.00937964	EUR
HG00361	1735436	1735436	0.100147	-0.105996	-0.0290429	-0.0317029	-0.00577375	0.037887	0.0419522	0.0792957	-0.00362488	-0.0141227	EUR
HG00368	1735438	1735438	0.0986847	-0.106198	-0.030782	-0.032024	-0.006764	0.0381171	0.0390482	0.0843466	-0.00767337	-0.00997733	EUR
HG00369	1735184	1735184	0.0997139	-0.110337	-0.0297465	-0.0320675	-0.0059776	0.0300665	0.0357066	0.0762558	-0.00586284	-0.00982128	EUR
HG00371	1735252	1735252	0.0979618	-0.108945	-0.0257865	-0.0342484	-0.00458544	0.0266435	0.0326299	0.0619711	-0.00401503	-0.00681334	EUR
HG00375	1732860	1732860	0.0975852	-0.112179	-0.0314089	-0.0343325	-0.00417431	0.0318057	0.0322807	0.0718961	-0.00699117	-0.00788403	EUR
HG00378	1729118	1729118	0.0978485	-0.110578	-0.0315111	-0.0371285	-0.00449444	0.0304714	0.0354859	0.0696969	-0.00602557	-0.00486918	EUR
HG00379	1733954	1733954	0.0986853	-0.112289	-0.0273399	-0.0307902	-0.00385102	0.0283111	0.0321044	0.0696544	-0.00346081	-0.0106714	EUR
HG00380	1734968	1734968	0.0947129	-0.121812	-0.0302056	-0.0386552	-0.00330074	0.0171495	0.0241816	0.0470984	-0.000808686	0.00927255	EUR
HG00381	1735424	1735424	0.100448	-0.11542	-0.0287912	-0.0369922	-0.00587608	0.0275261	0.0323688	0.0643358	-0.00583768	-0.0143655	EUR
HG00382	1734380	1734380	0.0954553	-0.108829	-0.0310989	-0.0328087	-0.00704194	0.0335396	0.0386232	0.0739489	-0.00947092	-0.0086419	EUR
HG00384	1733712	1733712	0.10043	-0.114166	-0.0319574	-0.0367051	-0.00477799	0.0267931	0.0327161	0.0673416	-0.00236257	-0.00947315	EUR
HG00457	1733634	1733634	0.123241	0.173999	-0.0132193	-0.0367838	5.26765e-05	-0.00576709	-0.000159438	0.00166803	0.00328813	0.00933618	EAS
HG00458	1734902	1734902	0.122752	0.172375	-0.0157872	-0.0328247	0.000939907	0.000382203	-0.00221964	-0.00218692	0.000855558	0.00244828	EAS
HG00473	1731828	1731828	0.12191	0.174435	-0.0140446	-0.034437	-1.31766e-05	-0.00147016	0.000854834	-0.000857946	0.00186811	-0.000349857	EAS
HG00613	1734776	1734776	0.123768	0.173417	-0.0122173	-0.0313244	-0.000809583	0.00508097	0.00201634	-0.000220046	0.00165098	0.00383709	EAS
HG00640	1735198	1735198	0.0675273	-0.0963349	-0.0351298	-0.013015	0.00060649	-0.012644	-0.0170452	-0.0278719	0.000596693	-0.00666422	AMR
HG00732	1731974	1731974	0.0729294	-0.0925323	-0.0391692	-0.0043296	0.00311152	-0.0135948	-0.0148566	-0.0265658	0.000227354	-0.0110128	AMR
HG00736	1734328	1734328	0.0690529	-0.100379	-0.0376698	-0.0113519	-0.000269024	-0.00998921	-0.014762	-0.0190148	-0.00155858	-0.007988	AMR
HG00743	1731564	1731564	0.062074	-0.0700224	-0.0504857	0.0196065	-0.00074412	-0.0112956	-0.010335	-0.0183401	-0.0023183	-0.0111763	AMR
HG01066	1731470	1731470	0.0646845	-0.093832	-0.0422855	-0.00551165	0.000991162	-0.0077508	-0.0135779	-0.0148249	-0.000257298	-0.0124613	AMR
HG01067	1735338	1735338	0.0594054	-0.089175	-0.0409582	-0.00318669	0.0039058	-0.0138025	-0.0164048	-0.024657	-0.00179543	-0.00633111	AMR
HG01086	1732594	1732594	0.044431	-0.0719486	-0.0424097	0.0138365	0.00359328	-0.0101919	-0.0104784	-0.0213265	-0.00462545	-0.0121991	AMR
HG01088	1727326	1727326	0.0255099	-0.0797697	-0.0373736	-0.00409228	0.00180309	-0.0105736	-0.00885451	-0.0166721	-0.00324103	-0.0155335	AMR
HG01094	1733342	1733342	0.0437772	-0.0846183	-0.0392099	-0.00521371	0.0014424	-0.0116238	-0.0123873	-0.0174821	-0.00435172	-0.0111186	AMR
HG01098	1734290	1734290	0.0568605	-0.0892143	-0.0414875	-0.00127832	-0.000210737	-0.0122901	-0.0163564	-0.0259086	-0.00114475	-0.0140167	AMR
HG01113	1729042	1729042	0.0933703	-0.0692196	-0.057361	0.0305793	0.00201122	-0.00836539	-0.0144188	-0.0213431	-0.00269986	-0.00443129	AMR
HG01119	1704854	1704854	0.0790054	-0.104529	-0.040567	-0.00589344	-0.00291426	-0.00612079	-0.00865301	-0.0285116	-0.00624864	-0.0064381	AMR
HG01139	1733164	1733164	0.0331846	-0.0462215	-0.0560278	0.0439324	0.000605179	-0.0031385	-0.00555874	-0.00872123	0.00119808	-0.00608056	AMR
