IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG01046	1730824	1730824	0.121302	0.171777	-0.0106324	-0.0387011	-0.0024033	-0.0502479	0.0093567	0.0102747	-0.000287143	-0.000548752	EAS
HG01589	1730842	1730842	0.0885389	-0.0531858	0.0675945	0.0245891	-0.00153435	-9.69075e-05	-0.00160695	0.00129358	0.000151352	0.00188931	SAS
HG01593	1731932	1731932	0.0856037	-0.0605232	0.0683098	0.0161735	-0.0012849	0.0025114	-0.00111535	-0.00484521	0.000668429	0.00644447	SAS
HG01598	1733968	1733968	0.120642	0.16742	-0.00723723	-0.0349519	-4.29516e-05	-0.0377717	0.00862202	0.00821201	5.08371e-05	-0.00397465	EAS
HG01600	1733046	1733046	0.120559	0.170734	-0.00816849	-0.036546	0.000962776	-0.0348911	0.00887799	0.00812421	0.00274363	0.00485025	EAS
HG01795	1735794	1735794	0.118465	0.170231	-0.00620838	-0.0372866	-0.000674849	-0.0492232	0.00881185	0.00901036	-0.00321186	-0.00171939	EAS
HG01797	1735816	1735816	0.119726	0.170627	-0.00640148	-0.0370448	-0.000575822	-0.0564407	0.0136647	0.0128018	-0.000233718	-0.00802607	EAS
HG01798	1735686	1735686	0.122813	0.168526	-0.014261	-0.0300041	8.78028e-05	-0.0053469	0.000344845	-0.00176405	0.000859522	0.00126306	EAS
HG01800	1734108	1734108	0.120292	0.171646	-0.0102215	-0.0392694	-0.00269283	-0.0433863	0.0114091	0.00857408	0.000345958	0.00140776	EAS
HG01801	1734484	1734484	0.119279	0.169808	-0.00661883	-0.036813	-0.000254529	-0.0509367	0.0117186	0.0155124	-0.00164566	-0.000561866	EAS
HG01802	1731122	1731122	0.118701	0.171145	-0.00774791	-0.0346869	-0.000184744	-0.0416461	0.00865177	0.00860857	3.49545e-05	-0.00120723	EAS
HG01804	1732136	1732136	0.120505	0.16917	-0.00710713	-0.0363647	-0.000182891	-0.0497769	0.0115688	0.0139616	-0.00262207	0.00342348	EAS
HG01805	1734276	1734276	0.12088	0.170647	-0.00872462	-0.0394269	0.000501559	-0.048342	0.00769384	0.0126293	0.00141031	-0.00297102	EAS
HG01806	1732020	1732020	0.119838	0.171094	-0.0095917	-0.0391648	-0.00176795	-0.0568102	0.0136452	0.0115064	0.000820764	0.00266779	EAS
HG01808	1732898	1732898	0.122617	0.170035	-0.006634	-0.0397554	0.00119559	-0.045798	0.00869771	0.0119914	-0.00160415	-0.00673801	EAS
HG01810	1733088	1733088	0.120836	0.168645	-0.00700548	-0.0368966	-0.00322026	-0.0530954	0.0123387	0.0163345	-0.004668	-0.00613572	EAS
HG01811	1728558	1728558	0.120381	0.171166	-0.00953944	-0.0410082	-0.00116741	-0.0580373	0.0110279	0.0103597	-0.00143075	0.00377967	EAS
HG01812	1730272	1730272	0.122057	0.171793	-0.0106883	-0.0354241	-0.0013056	-0.051539	0.0133253	0.0118352	0.000704821	-0.00171732	EAS
HG01815	1734442	1734442	0.118689	0.169531	-0.00713692	-0.0354775	0.000843777	-0.0526784	0.0114218	0.0160672	0.00100226	-0.00415098	EAS
HG01816	1733174	1733174	0.120407	0.171444	-0.00942342	-0.0410578	-0.00142571	-0.057197	0.0114007	0.0139344	-5.84083e-05	0.00242803	EAS
HG01842	1729318	1729318	0.119907	0.165861	-0.00502029	-0.0410322	-0.000502885	-0.0372013	0.00740148	0.00881472	-0.00079038	0.000642397	EAS
HG01843	1727170	1727170	0.120512	0.164171	-0.00308024	-0.0352812	-0.000561464	-0.0389848	0.00760301	0.00653465	-0.000699081	-0.00175608	EAS
HG01845	1729100	1729100	0.12037	0.164908	-0.00808424	-0.0346624	-0.00128298	-0.0360498	0.00911739	0.00661211	-0.00134947	0.0040021	EAS
HG01849	1732988	1732988	0.121882	0.164689	-0.00453839	-0.0366598	-0.00222434	-0.0405927	0.0074052	0.00852368	-0.000583776	-0.00229889	EAS
HG01851	1734530	1734530	0.120136	0.169851	-0.00801261	-0.0348185	-0.000359726	-0.0427624	0.00913668	0.00798889	-0.00231615	0.00239579	EAS
HG01852	1723096	1723096	0.119856	0.166139	-0.00492236	-0.0344714	-0.00272768	-0.035206	0.00968796	0.00779163	0.000106391	0.00202957	EAS
HG01853	1717380	1717380	0.116715	0.16649	-0.00547982	-0.0357387	0.000892655	-0.038986	0.00975899	0.00691576	-0.00108741	-0.000293606	EAS
HG01857	1733254	1733254	0.120311	0.166689	-0.00708667	-0.0342197	0.000668537	-0.0327635	0.0113446	0.0121426	-0.00355662	0.00338639	EAS
HG01859	1735082	1735082	0.121158	0.170219	-0.010827	-0.0379795	-0.00104024	-0.0407836	0.00891723	0.0114073	0.000904875	0.00128352	EAS
HG01860	1734980	1734980	0.119455	0.169596	-0.00720344	-0.0341357	6.49988e-05	-0.0448187	0.00971906	0.0107157	0.00116024	-0.000625561	EAS
HG01863	1731444	1731444	0.121004	0.16942	-0.00614928	-0.0351516	-0.00221064	-0.0329468	0.00924384	0.0101981	0.00166034	-0.00255624	EAS
